question,answer
How many times does the letter 'f' appear in the word 'info'?,1
How many times does the letter 'n' appear in the word 'cabinets'?,1
How many times does the letter 'e' appear in the word 'everyone'?,3
How many times does the letter 't' appear in the word 'bit'?,1
How many times does the letter 'r' appear in the word 'grab'?,1
How many times does the letter 'n' appear in the word 'listening'?,2
How many times does the letter 'e' appear in the word 'technologies'?,2
How many times does the letter 'y' appear in the word 'albany'?,1
How many times does the letter 'e' appear in the word 'general'?,2
How many times does the letter 'e' appear in the word 'travels'?,1
How many times does the letter 'a' appear in the word 'apr'?,1
How many times does the letter 's' appear in the word 'se'?,1
How many times does the letter 'n' appear in the word 'argument'?,1
How many times does the letter 'a' appear in the word 'spank'?,1
How many times does the letter 'e' appear in the word 'altered'?,2
How many times does the letter 'e' appear in the word 'expect'?,2
How many times does the letter 'c' appear in the word 'secretary'?,1
How many times does the letter 'r' appear in the word 'renew'?,1
How many times does the letter 'o' appear in the word 'wholesale'?,1
How many times does the letter 'e' appear in the word 'lingerie'?,2
How many times does the letter 'h' appear in the word 'sheer'?,1
How many times does the letter 'e' appear in the word 'peace'?,2
How many times does the letter 'l' appear in the word 'portable'?,1
How many times does the letter 'a' appear in the word 'safari'?,2
How many times does the letter 'o' appear in the word 'douglas'?,1
How many times does the letter 'a' appear in the word 'say'?,1
How many times does the letter 'a' appear in the word 'oral'?,1
How many times does the letter 'i' appear in the word 'ski'?,1
How many times does the letter 'b' appear in the word 'buyers'?,1
How many times does the letter 'e' appear in the word 'unable'?,1
How many times does the letter 'm' appear in the word 'him'?,1
How many times does the letter 's' appear in the word 'separately'?,1
How many times does the letter 'l' appear in the word 'regardless'?,1
How many times does the letter 'r' appear in the word 'figure'?,1
How many times does the letter 'e' appear in the word 'make'?,1
How many times does the letter 'r' appear in the word 'biography'?,1
How many times does the letter 'g' appear in the word 'anthropology'?,1
How many times does the letter 'd' appear in the word 'modifications'?,1
How many times does the letter 'p' appear in the word 'plugin'?,1
How many times does the letter 'i' appear in the word 'if'?,1
How many times does the letter 'i' appear in the word 'listed'?,1
How many times does the letter 'a' appear in the word 'brass'?,1
How many times does the letter 'd' appear in the word 'docs'?,1
How many times does the letter 'p' appear in the word 'patio'?,1
How many times does the letter 'a' appear in the word 'taxation'?,2
How many times does the letter 's' appear in the word 'sand'?,1
How many times does the letter 'i' appear in the word 'ferrari'?,1
How many times does the letter 'm' appear in the word 'acm'?,1
How many times does the letter 'r' appear in the word 'inter'?,1
How many times does the letter 'r' appear in the word 'carry'?,2
How many times does the letter 'r' appear in the word 'charger'?,2
How many times does the letter 'r' appear in the word 'parts'?,1
How many times does the letter 's' appear in the word 'eos'?,1
How many times does the letter 'n' appear in the word 'engage'?,1
How many times does the letter 'j' appear in the word 'joshua'?,1
How many times does the letter 's' appear in the word 'sat'?,1
How many times does the letter 't' appear in the word 'act'?,1
How many times does the letter 's' appear in the word 'usd'?,1
How many times does the letter 'n' appear in the word 'phenomenon'?,3
How many times does the letter 's' appear in the word 'incest'?,1
How many times does the letter 'e' appear in the word 'reverse'?,3
How many times does the letter 'g' appear in the word 'gi'?,1
How many times does the letter 'o' appear in the word 'watson'?,1
How many times does the letter 'm' appear in the word 'humanitarian'?,1
How many times does the letter 'b' appear in the word 'feedback'?,1
How many times does the letter 'a' appear in the word 'jamaica'?,3
How many times does the letter 'a' appear in the word 'ranks'?,1
How many times does the letter 'n' appear in the word 'transport'?,1
How many times does the letter 'c' appear in the word 'declared'?,1
How many times does the letter 't' appear in the word 'bristol'?,1
How many times does the letter 'm' appear in the word 'mime'?,2
How many times does the letter 'd' appear in the word 'shed'?,1
How many times does the letter 'n' appear in the word 'knives'?,1
How many times does the letter 'z' appear in the word 'freeze'?,1
How many times does the letter 'l' appear in the word 'childhood'?,1
How many times does the letter 'e' appear in the word 'headers'?,2
How many times does the letter 's' appear in the word 'tissue'?,2
How many times does the letter 'o' appear in the word 'tucson'?,1
How many times does the letter 'a' appear in the word 'stranger'?,1
How many times does the letter 's' appear in the word 'basement'?,1
How many times does the letter 'i' appear in the word 'multiple'?,1
How many times does the letter 'h' appear in the word 'rh'?,1
How many times does the letter 'c' appear in the word 'chronicles'?,2
How many times does the letter 'e' appear in the word 'released'?,3
How many times does the letter 'n' appear in the word 'lone'?,1
How many times does the letter 't' appear in the word 'qualifications'?,1
How many times does the letter 'c' appear in the word 'acres'?,1
How many times does the letter 'f' appear in the word 'surf'?,1
How many times does the letter 'e' appear in the word 'website'?,2
How many times does the letter 'z' appear in the word 'uzbekistan'?,1
How many times does the letter 'p' appear in the word 'poland'?,1
How many times does the letter 't' appear in the word 'fitting'?,2
How many times does the letter 'l' appear in the word 'cumulative'?,1
How many times does the letter 'u' appear in the word 'dual'?,1
How many times does the letter 'e' appear in the word 'imported'?,1
How many times does the letter 'l' appear in the word 'mills'?,2
How many times does the letter 'q' appear in the word 'questions'?,1
How many times does the letter 'a' appear in the word 'space'?,1
How many times does the letter 'u' appear in the word 'course'?,1
How many times does the letter 'e' appear in the word 'seller'?,2
How many times does the letter 'r' appear in the word 'periods'?,1
How many times does the letter 'r' appear in the word 'ring'?,1
How many times does the letter 'o' appear in the word 'odd'?,1
How many times does the letter 'c' appear in the word 'channel'?,1
How many times does the letter 'r' appear in the word 'ron'?,1
How many times does the letter 'o' appear in the word 'publications'?,1
How many times does the letter 'a' appear in the word 'catholic'?,1
How many times does the letter 'n' appear in the word 'planets'?,1
How many times does the letter 'f' appear in the word 'fees'?,1
How many times does the letter 'l' appear in the word 'actually'?,2
How many times does the letter 'i' appear in the word 'microwave'?,1
How many times does the letter 'a' appear in the word 'statute'?,1
How many times does the letter 'p' appear in the word 'philadelphia'?,2
How many times does the letter 'x' appear in the word 'boxes'?,1
How many times does the letter 'm' appear in the word 'mem'?,2
How many times does the letter 'u' appear in the word 'url'?,1
How many times does the letter 's' appear in the word 'sig'?,1
How many times does the letter 's' appear in the word 'sunglasses'?,4
How many times does the letter 'r' appear in the word 'pharmacy'?,1
How many times does the letter 'n' appear in the word 'atlanta'?,1
How many times does the letter 'i' appear in the word 'predict'?,1
How many times does the letter 'k' appear in the word 'joke'?,1
How many times does the letter 'p' appear in the word 'peripherals'?,2
How many times does the letter 'a' appear in the word 'residential'?,1
How many times does the letter 'm' appear in the word 'moses'?,1
How many times does the letter 'e' appear in the word 'remains'?,1
How many times does the letter 'b' appear in the word 'hobbies'?,2
How many times does the letter 's' appear in the word 'nearest'?,1
How many times does the letter 'e' appear in the word 'stereo'?,2
How many times does the letter 'a' appear in the word 'participated'?,2
How many times does the letter 's' appear in the word 'postposted'?,2
How many times does the letter 't' appear in the word 'heat'?,1
How many times does the letter 'm' appear in the word 'sample'?,1
How many times does the letter 'r' appear in the word 'runtime'?,1
How many times does the letter 'a' appear in the word 'istanbul'?,1
How many times does the letter 'o' appear in the word 'classification'?,1
How many times does the letter 'e' appear in the word 'heel'?,2
How many times does the letter 'r' appear in the word 'circumstances'?,1
How many times does the letter 'a' appear in the word 'contrary'?,1
How many times does the letter 's' appear in the word 'stomach'?,1
How many times does the letter 'a' appear in the word 'instead'?,1
How many times does the letter 'g' appear in the word 'guatemala'?,1
How many times does the letter 'g' appear in the word 'regarding'?,2
How many times does the letter 'o' appear in the word 'occasions'?,2
How many times does the letter 'e' appear in the word 'kidney'?,1
How many times does the letter 'r' appear in the word 'lauderdale'?,1
How many times does the letter 's' appear in the word 'snowboard'?,1
How many times does the letter 'a' appear in the word 'itsa'?,1
How many times does the letter 'd' appear in the word 'responded'?,2
How many times does the letter 's' appear in the word 'si'?,1
How many times does the letter 'c' appear in the word 'cindy'?,1
How many times does the letter 'j' appear in the word 'jefferson'?,1
How many times does the letter 'p' appear in the word 'shopping'?,2
How many times does the letter 'a' appear in the word 'private'?,1
How many times does the letter 'r' appear in the word 'niagara'?,1
How many times does the letter 'y' appear in the word 'roy'?,1
How many times does the letter 'f' appear in the word 'flower'?,1
How many times does the letter 'a' appear in the word 'animation'?,2
How many times does the letter 'e' appear in the word 'comment'?,1
How many times does the letter 'w' appear in the word 'sw'?,1
How many times does the letter 'i' appear in the word 'kind'?,1
How many times does the letter 'e' appear in the word 'median'?,1
How many times does the letter 'g' appear in the word 'gnu'?,1
How many times does the letter 'm' appear in the word 'temp'?,1
How many times does the letter 's' appear in the word 'customized'?,1
How many times does the letter 's' appear in the word 'festival'?,1
How many times does the letter 'a' appear in the word 'marshall'?,2
How many times does the letter 'g' appear in the word 'kruger'?,1
How many times does the letter 'e' appear in the word 'rehab'?,1
How many times does the letter 'm' appear in the word 'manuals'?,1
How many times does the letter 'e' appear in the word 'reject'?,2
How many times does the letter 'l' appear in the word 'relaxation'?,1
How many times does the letter 'p' appear in the word 'tops'?,1
How many times does the letter 't' appear in the word 'junction'?,1
How many times does the letter 'c' appear in the word 'contracting'?,2
How many times does the letter 'i' appear in the word 'discounted'?,1
How many times does the letter 'r' appear in the word 'registry'?,2
How many times does the letter 'n' appear in the word 'election'?,1
How many times does the letter 'k' appear in the word 'breaking'?,1
How many times does the letter 'f' appear in the word 'effort'?,2
How many times does the letter 'a' appear in the word 'signal'?,1
How many times does the letter 'i' appear in the word 'regions'?,1
How many times does the letter 'a' appear in the word 'fireplace'?,1
How many times does the letter 'e' appear in the word 'basename'?,2
How many times does the letter 's' appear in the word 'cholesterol'?,1
How many times does the letter 'r' appear in the word 'offers'?,1
How many times does the letter 'r' appear in the word 'ordered'?,2
How many times does the letter 'e' appear in the word 'derek'?,2
How many times does the letter 'a' appear in the word 'factors'?,1
How many times does the letter 'b' appear in the word 'bye'?,1
How many times does the letter 'y' appear in the word 'pottery'?,1
How many times does the letter 't' appear in the word 'talk'?,1
How many times does the letter 'a' appear in the word 'gibraltar'?,2
How many times does the letter 'i' appear in the word 'imagination'?,3
How many times does the letter 'g' appear in the word 'forge'?,1
How many times does the letter 'p' appear in the word 'php'?,2
How many times does the letter 'r' appear in the word 'spencer'?,1
How many times does the letter 't' appear in the word 'cotton'?,2
How many times does the letter 'e' appear in the word 'expense'?,3
How many times does the letter 'a' appear in the word 'managing'?,2
How many times does the letter 'n' appear in the word 'nfl'?,1
How many times does the letter 'n' appear in the word 'near'?,1
How many times does the letter 'r' appear in the word 'controversy'?,2
How many times does the letter 'u' appear in the word 'chorus'?,1
How many times does the letter 'b' appear in the word 'above'?,1
How many times does the letter 'i' appear in the word 'diving'?,2
How many times does the letter 'r' appear in the word 'promised'?,1
How many times does the letter 's' appear in the word 'suse'?,2
How many times does the letter 'd' appear in the word 'ted'?,1
How many times does the letter 'o' appear in the word 'joint'?,1
How many times does the letter 'b' appear in the word 'boutique'?,1
How many times does the letter 'l' appear in the word 'lamb'?,1
How many times does the letter 'n' appear in the word 'quantum'?,1
How many times does the letter 'i' appear in the word 'editing'?,2
How many times does the letter 'a' appear in the word 'amd'?,1
How many times does the letter 'y' appear in the word 'railway'?,1
How many times does the letter 'd' appear in the word 'ideas'?,1
How many times does the letter 'e' appear in the word 'eq'?,1
How many times does the letter 'a' appear in the word 'railroad'?,2
How many times does the letter 'n' appear in the word 'writing'?,1
How many times does the letter 'e' appear in the word 'televisions'?,2
How many times does the letter 'l' appear in the word 'albums'?,1
How many times does the letter 'h' appear in the word 'huntington'?,1
How many times does the letter 'y' appear in the word 'territory'?,1
How many times does the letter 'a' appear in the word 'stand'?,1
How many times does the letter 'l' appear in the word 'naples'?,1
How many times does the letter 'a' appear in the word 'chapter'?,1
How many times does the letter 'i' appear in the word 'hiking'?,2
How many times does the letter 'r' appear in the word 'repository'?,2
How many times does the letter 'a' appear in the word 'waiting'?,1
How many times does the letter 'n' appear in the word 'sony'?,1
How many times does the letter 'e' appear in the word 'returns'?,1
How many times does the letter 'e' appear in the word 'arcade'?,1
How many times does the letter 'l' appear in the word 'trails'?,1
How many times does the letter 'w' appear in the word 'urw'?,1
How many times does the letter 'r' appear in the word 'erotic'?,1
How many times does the letter 'i' appear in the word 'internet'?,1
How many times does the letter 'n' appear in the word 'ancient'?,2
How many times does the letter 'h' appear in the word 'happen'?,1
How many times does the letter 'i' appear in the word 'simulations'?,2
How many times does the letter 'a' appear in the word 'internationally'?,2
How many times does the letter 's' appear in the word 'notices'?,1
How many times does the letter 'u' appear in the word 'disturbed'?,1
How many times does the letter 'a' appear in the word 'boat'?,1
How many times does the letter 'n' appear in the word 'nasdaq'?,1
How many times does the letter 'd' appear in the word 'lcd'?,1
How many times does the letter 'l' appear in the word 'overall'?,2
How many times does the letter 'b' appear in the word 'webster'?,1
How many times does the letter 'c' appear in the word 'closest'?,1
How many times does the letter 'r' appear in the word 'australia'?,1
How many times does the letter 'n' appear in the word 'ment'?,1
How many times does the letter 'i' appear in the word 'monitored'?,1
How many times does the letter 'i' appear in the word 'lighter'?,1
How many times does the letter 'n' appear in the word 'bacon'?,1
How many times does the letter 'f' appear in the word 'flip'?,1
How many times does the letter 'a' appear in the word 'ask'?,1
How many times does the letter 't' appear in the word 'transmitted'?,3
How many times does the letter 'e' appear in the word 'elder'?,2
How many times does the letter 'e' appear in the word 'sealed'?,2
How many times does the letter 'i' appear in the word 'chicken'?,1
How many times does the letter 'i' appear in the word 'activities'?,3
How many times does the letter 'n' appear in the word 'endorsed'?,1
How many times does the letter 'r' appear in the word 'raid'?,1
How many times does the letter 'l' appear in the word 'alot'?,1
How many times does the letter 'a' appear in the word 'acid'?,1
How many times does the letter 'p' appear in the word 'polar'?,1
How many times does the letter 'k' appear in the word 'suck'?,1
How many times does the letter 'b' appear in the word 'bukkake'?,1
How many times does the letter 'u' appear in the word 'rug'?,1
How many times does the letter 'r' appear in the word 'skirts'?,1
How many times does the letter 'o' appear in the word 'theoretical'?,1
How many times does the letter 'r' appear in the word 'spread'?,1
How many times does the letter 'a' appear in the word 'combination'?,1
How many times does the letter 'n' appear in the word 'finished'?,1
How many times does the letter 'p' appear in the word 'approx'?,2
How many times does the letter 'r' appear in the word 'crest'?,1
How many times does the letter 'u' appear in the word 'amount'?,1
How many times does the letter 'm' appear in the word 'matched'?,1
How many times does the letter 'l' appear in the word 'specials'?,1
How many times does the letter 'r' appear in the word 'chairman'?,1
How many times does the letter 'e' appear in the word 'lenses'?,2
How many times does the letter 'p' appear in the word 'polls'?,1
How many times does the letter 's' appear in the word 'surprised'?,2
How many times does the letter 't' appear in the word 'kit'?,1
How many times does the letter 'c' appear in the word 'overcome'?,1
How many times does the letter 'c' appear in the word 'disclaimer'?,1
How many times does the letter 'a' appear in the word 'aaron'?,2
How many times does the letter 'e' appear in the word 'cruises'?,1
How many times does the letter 'u' appear in the word 'journals'?,1
How many times does the letter 'b' appear in the word 'bee'?,1
How many times does the letter 'e' appear in the word 'produce'?,1
How many times does the letter 'm' appear in the word 'mysql'?,1
How many times does the letter 'i' appear in the word 'atlantic'?,1
How many times does the letter 'c' appear in the word 'alliance'?,1
How many times does the letter 'e' appear in the word 'continued'?,1
How many times does the letter 'a' appear in the word 'aug'?,1
How many times does the letter 'h' appear in the word 'thai'?,1
How many times does the letter 'o' appear in the word 'soc'?,1
How many times does the letter 'a' appear in the word 'watching'?,1
How many times does the letter 'v' appear in the word 'civil'?,1
How many times does the letter 'i' appear in the word 'limitation'?,3
How many times does the letter 'n' appear in the word 'rain'?,1
How many times does the letter 'e' appear in the word 'device'?,2
How many times does the letter 'c' appear in the word 'cry'?,1
How many times does the letter 'g' appear in the word 'proceedings'?,1
How many times does the letter 'd' appear in the word 'pda'?,1
How many times does the letter 's' appear in the word 'ones'?,1
How many times does the letter 'o' appear in the word 'properly'?,1
How many times does the letter 'e' appear in the word 'relevant'?,2
How many times does the letter 'c' appear in the word 'branches'?,1
How many times does the letter 'p' appear in the word 'appeals'?,2
How many times does the letter 'n' appear in the word 'orientation'?,2
How many times does the letter 'y' appear in the word 'you'?,1
How many times does the letter 'i' appear in the word 'adidas'?,1
How many times does the letter 'o' appear in the word 'comfort'?,2
How many times does the letter 'w' appear in the word 'fellowship'?,1
How many times does the letter 'e' appear in the word 'effects'?,2
How many times does the letter 'e' appear in the word 'somewhere'?,3
How many times does the letter 't' appear in the word 'representing'?,1
How many times does the letter 'm' appear in the word 'numbers'?,1
How many times does the letter 'i' appear in the word 'inf'?,1
How many times does the letter 'd' appear in the word 'lead'?,1
How many times does the letter 'l' appear in the word 'literacy'?,1
How many times does the letter 'i' appear in the word 'harris'?,1
How many times does the letter 'r' appear in the word 'preview'?,1
How many times does the letter 'p' appear in the word 'portuguese'?,1
How many times does the letter 'l' appear in the word 'literally'?,3
How many times does the letter 'o' appear in the word 'arnold'?,1
How many times does the letter 'j' appear in the word 'joyce'?,1
How many times does the letter 'n' appear in the word 'hampton'?,1
How many times does the letter 'f' appear in the word 'hartford'?,1
How many times does the letter 'e' appear in the word 'execute'?,3
How many times does the letter 'u' appear in the word 'punch'?,1
How many times does the letter 'a' appear in the word 'amber'?,1
How many times does the letter 'u' appear in the word 'kurt'?,1
How many times does the letter 'e' appear in the word 'enjoying'?,1
How many times does the letter 'l' appear in the word 'roll'?,2
How many times does the letter 'h' appear in the word 'church'?,2
How many times does the letter 'w' appear in the word 'ww'?,2
How many times does the letter 'r' appear in the word 'forgot'?,1
How many times does the letter 'i' appear in the word 'timing'?,2
How many times does the letter 'o' appear in the word 'separation'?,1
How many times does the letter 't' appear in the word 'assignment'?,1
How many times does the letter 't' appear in the word 'attitude'?,3
How many times does the letter 'e' appear in the word 'torture'?,1
How many times does the letter 'r' appear in the word 'served'?,1
How many times does the letter 'a' appear in the word 'gay'?,1
How many times does the letter 'i' appear in the word 'timothy'?,1
How many times does the letter 'l' appear in the word 'legal'?,2
How many times does the letter 's' appear in the word 'scored'?,1
How many times does the letter 'n' appear in the word 'uniprotkb'?,1
How many times does the letter 'c' appear in the word 'hitachi'?,1
How many times does the letter 't' appear in the word 'teaching'?,1
How many times does the letter 'n' appear in the word 'surgeon'?,1
How many times does the letter 'n' appear in the word 'commentary'?,1
How many times does the letter 'n' appear in the word 'direction'?,1
